All,Сите
None,Нема
"Read Details","Прочитај детали"
"Mark as Read","Означи како прочитано"
"Are you sure?","Дали сте сигурни?"
Remove,Избриши
"Messages Inbox","Сандаче со пораки"
close,затвори
Notifications,Известувања
"The message has been marked as Read.","Пораката е означена како прочитена."
"Please select messages.","Ве молиме изберете порака."
"The message has been removed.","Пораката е избришена."
"1 Hour","1 час"
"2 Hours","2 часа"
"6 Hours","6 часа"
"12 Hours","12 часа"
"24 Hours","24 часа"
critical,критично
major,големо
minor,мало
notice,забелешка
"System Messages:","Системски пораки:"
"Critical System Messages","Критични системски пораки"
"Major System Messages","Важни системски пораки"
"System messages","Системски пораки"
Close,Затвори
"See All (","Види ги сите ("
" unread)"," непрочитани)"
"Show List","Прикажи листа"
"Last Update","Последно Ажурирано"
Message,Порака
Actions,Акции
"Manage Shopping Cart","Менаџирај кошничка"
"Create Order","Креирај нарачка"
Back,Назад
"Add Products","Додади продукти"
"Update Items and Quantities","Ажурирај продукти и количини"
"Are you sure you want to clear your cart?","Дали сте сигурни дека сакате да ја исчистите вашата кошничка?"
"Clear my shopping cart","Исчисти ја мојата кошничка"
"Add selections to my cart","Додади ја селекцијата во мојата кошничка"
Cancel,Откажи
"Shopping Cart for %1 in %2","Кошничка за %1 во %2"
"Select products you want to buy","Изберете ги продуктите што сакате да ги купите"
Product,Продукт
Price,Цена
Quantity,Количина
"Products in the Comparison List (%1)","Продукти во листата за споредба (%1)"
"Last ordered items (%1)","Последно порачани продукти (%1)"
Products,Продукти
"Recently Viewed Products (%1)","Последно видени продукти (%1)"
"Add to Shopping Cart by SKU","Додади во кошничка според SKU"
"Add to Shopping Cart","Додади во кошничка"
"Wish List (%1)","Листа со желби (%1)"
Apply,Примени
Configure,Конфигурирај
"Add to Order by SKU","Додади во нарачка според SKU"
"Add to Order","Додади во нарачка"
"Add Products to Order","Додади продукти во нарачка"
"Remove All","Избриши ги сите"
"Only %1%2%3 left in stock","Само %1%2%3 се останати на залиха"
"You can buy up to %1 of these per purchase.","Можете да купите %1 продукт/и по нарачка."
"You must buy at least %1 of these per purchase.","Морате да купите %1 продукт/и по нарачка."
"Specify the product's options.","Дефинирај ги опциите на продуктот."
"Alert me when this item is available.","Извести ме кога овој продукт ќе биде на залиха."
"Shopping cart management is disabled for this customer.","Менаџментот на кошничката е онемовозможен за овој купувач."
Customers,Купувачи
"Shopping Cart",Кошничка
"You do not have access to this.","Немате пристап до ова."
"You cannot configure a product.","Неможете да конфигурирате продукт."
"You removed the items.","Ги избришавте овие продукти."
"You removed the item.","Го избришавте овој продукт."
"You added %1 to your shopping cart.","Додадовте %1 во вашата кошничка."
"You cannot add a product.","Неможете да додадете продукт."
"Order by SKU","Нарачка по SKU"
"The SKU was not found in the catalog.","SKU бројот не е пронајден во каталогот."
"Availability: Out of stock.","Залиха: Нема на залиха."
"You can't add this many to your cart.","Не можете да додадете толку многу во вашата кошничка."
"You need to choose options for your item.","Морате да изберете опции за вашиот продукт."
"We can't add the item to your cart.","Неможеме да го додадеме продуктот во вашата кошничка."
"Please enter an actual number in the ""Qty"" field.","Ве молиме внесете број во полето."
"This product is assigned to another website.","Овој продукт е доделен на друга продавница."
"You can add only enabled products.","Можете да додадете само „вкличени“ продукти."
"You cannot upload this file.","Неможете да ја прикачете оваа датотека."
"The file is empty.","Датотеката е празна."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Немате внесено SKU број за продуктот. Ве молиме <a href=""%1"">кликнете овде</a> да внесете SKU број на продуктот/те."
"You have not entered a product SKU.","Немате внесено SKU број."
"We can't add a product to cart by id ""%1"".","Не можеме да го додадеме продуктот во кошничката по id ""%1""."
"We can't find this wish list.","Неможеме да ја пронајдеме оваа листа со желби."
"You added %1 product to your shopping cart.","Додадовте %1продукт во вашата кошничка."
"You added %1 products to your shopping cart.","Додадовте %1 продукти во вашата кошничка."
"Yes, for Specified Customer Groups","Да, за дефинирани групи на купувачи"
"Yes, for Everyone","Да, за сите"
No,Не
"Apply Coupon Code","Примени го кодот на купунот"
"Remove Coupon Code","Отстрани го кодот на купонот"
"The coupon code ""%1"" is not valid.","Кодот на купонот ""%1"" не е валиден."
"Shopping Cart Items","Продукти во кошничка"
Qty,Кол
Subtotal,Вкупно
Discount,Попуст
Action,Акција
"No ordered items","Нема нарачани продукти"
"Total %1 product(s)","Вкупно %1 продукт/и"
Subtotal:,Вкупно:
"Please select","Ве молиме изберете"
"Move to Wish List","Додади во листа со желби"
"Are you sure you want to remove this item?","Дали сте сигурни дека сакате да го отстраните овој продукт?"
"SKU number","SKU број"
"Upload File","Прикачи датотека"
Reset,Ресетирај
"Only <span id=""%1_max_allowed"">%2</span> in stock","Само <span id=""%1_max_allowed"">%2</span> на залиха"
Item,Продукт
"See price before order confirmation.","Види цена пред потврда на нарачката."
"What's this?","Што е ова?"
"Incl. Tax","Со ДДВ"
"Excl. Tax","Без ДДВ"
Edit,Измени
"Remove item","Отстрани продукт"
"Add to Cart","Додади во кошничка"
File,Датотека
"Remove Row","Отстрани Ред"
"Add Products By SKU","Додади продукти по SKU"
"Shopping Cart Management","Менаџмент на кошничката"
"View Shopping Cart","Видете ја вашата кошничка"
"View and modify Shopping Cart","Видете и изменете ја кошничката"
"Customer Groups","Групи на купувачи"
